time,hr,rr,sv,hrv,ss,status,bbt0,bbt1,bbt2,time2
1581801619,0,0,0,0,242,0,0,0,0,1581801563
1581801620,0,0,0,0,238,0,0,0,0,1581801564
1581801621,0,0,0,0,234,0,0,0,0,1581801565
1581801622,0,0,0,0,214,0,0,0,0,1581801566
1581801623,0,0,0,0,233,0,0,0,0,1581801567
1581801624,0,0,0,0,266,1,0,0,0,1581801568
1581801625,0,0,0,0,244,0,0,0,0,1581801569
1581801626,0,0,0,0,258,1,0,0,0,1581801570
1581801627,0,0,0,0,239,0,0,0,0,1581801571
1581801628,0,0,0,0,242,0,0,0,0,1581801572
1581801629,0,0,0,0,237,0,0,0,0,1581801573
1581801630,0,0,0,0,257,1,0,0,0,1581801574
1581801631,0,0,0,0,225,0,0,0,0,1581801575
1581801632,0,0,0,0,230,0,0,0,0,1581801576
1581801633,0,0,0,0,246,1,0,0,0,1581801577
1581801634,0,0,0,0,255,1,0,0,0,1581801578
1581801635,0,0,0,0,255,1,0,0,0,1581801579
1581801636,0,0,0,0,251,1,0,0,0,1581801580
1581801637,0,0,0,0,246,1,0,0,0,1581801581
1581801638,0,0,0,0,245,1,0,0,0,1581801582
1581801639,0,0,0,0,225,0,0,0,0,1581801583
1581801640,0,0,0,0,231,0,0,0,0,1581801584
1581801641,0,0,0,0,246,1,0,0,0,1581801585
1581801642,0,0,0,0,263,1,0,0,0,1581801586
1581801643,0,0,0,0,226,0,0,0,0,1581801587
1581801644,0,0,0,0,228,0,0,0,0,1581801588
1581801645,0,0,0,0,244,0,0,0,0,1581801589
1581801646,0,0,0,0,226,0,0,0,0,1581801590
1581801647,0,0,0,0,244,0,0,0,0,1581801591
1581801648,0,0,0,0,216,0,0,0,0,1581801592
1581801649,0,0,0,0,223,0,0,0,0,1581801593
1581801650,0,0,0,0,218,0,0,0,0,1581801594
1581801651,0,0,0,0,229,0,0,0,0,1581801595
1581801652,0,0,0,0,226,0,0,0,0,1581801596
1581801653,0,0,0,0,243,0,0,0,0,1581801597
1581801654,0,0,0,0,243,0,0,0,0,1581801598
1581801655,0,0,0,0,235,0,0,0,0,1581801599
1581801656,0,0,0,0,224,0,0,0,0,1581801600
1581801657,0,0,0,0,249,1,0,0,0,1581801601
1581801658,0,0,0,0,256,1,0,0,0,1581801602
1581801659,0,0,0,0,240,0,0,0,0,1581801603
1581801660,0,0,0,0,231,0,0,0,0,1581801604
1581801661,0,0,0,0,227,0,0,0,0,1581801605
1581801662,0,0,0,0,231,0,0,0,0,1581801606
1581801663,0,0,0,0,230,0,0,0,0,1581801607
1581801664,0,0,0,0,212,0,0,0,0,1581801608
1581801665,0,0,0,0,229,0,0,0,0,1581801609
1581801666,0,0,0,0,250,1,0,0,0,1581801610
1581801667,0,0,0,0,238,0,0,0,0,1581801611
1581801668,0,0,0,0,236,0,0,0,0,1581801612
1581801669,0,0,0,0,238,0,0,0,0,1581801613
1581801670,0,0,0,0,258,1,0,0,0,1581801614
1581801671,0,0,0,0,231,0,0,0,0,1581801615
1581801672,0,0,0,0,237,0,0,0,0,1581801616
1581801673,0,0,0,0,233,0,0,0,0,1581801617
1581801674,0,0,0,0,244,0,0,0,0,1581801618
1581801675,0,0,0,0,235,0,0,0,0,1581801619
1581801676,0,0,0,0,232,0,0,0,0,1581801620
1581801677,0,0,0,0,221,0,0,0,0,1581801621
1581801678,0,0,0,0,215,0,0,0,0,1581801622
1581801679,0,0,0,0,245,1,0,0,0,1581801623
1581801680,0,0,0,0,239,0,0,0,0,1581801624
1581801681,0,0,0,0,239,0,0,0,0,1581801625
1581801682,0,0,0,0,261,1,0,0,0,1581801626
1581801683,0,0,0,0,247,1,0,0,0,1581801627
1581801684,0,0,0,0,248,1,0,0,0,1581801628
1581801685,0,0,0,0,256,1,0,0,0,1581801629
1581801686,0,0,0,0,226,0,0,0,0,1581801630
1581801687,0,0,0,0,225,0,0,0,0,1581801631
1581801688,0,0,0,0,225,0,0,0,0,1581801632
1581801689,0,0,0,0,234,0,0,0,0,1581801633
1581801690,0,0,0,0,240,0,0,0,0,1581801634
1581801691,0,0,0,0,217,0,0,0,0,1581801635
1581801692,0,0,0,0,222,0,0,0,0,1581801636
1581801693,0,0,0,0,203,0,0,0,0,1581801637
1581801694,0,0,0,0,212,0,0,0,0,1581801638
1581801695,0,0,0,0,237,0,0,0,0,1581801639
1581801696,0,0,0,0,251,1,0,0,0,1581801640
1581801697,0,0,0,0,268,1,0,0,0,1581801641
1581801698,0,0,0,0,258,1,0,0,0,1581801642
1581801699,0,0,0,0,262,1,0,0,0,1581801643
1581801700,0,0,0,0,247,1,0,0,0,1581801644
1581801701,0,0,0,0,265,1,0,0,0,1581801645
1581801702,0,0,0,0,234,0,0,0,0,1581801646
1581801703,0,0,0,0,236,0,0,0,0,1581801647
1581801704,0,0,0,0,215,0,0,0,0,1581801648
1581801705,0,0,0,0,225,0,0,0,0,1581801649
1581801706,0,0,0,0,239,0,0,0,0,1581801650
1581801707,0,0,0,0,234,0,0,0,0,1581801651
1581801708,0,0,0,0,225,0,0,0,0,1581801652
1581801709,0,0,0,0,233,0,0,0,0,1581801653
1581801710,0,0,0,0,257,1,0,0,0,1581801654
1581801711,0,0,0,0,239,0,0,0,0,1581801655
1581801712,0,0,0,0,232,0,0,0,0,1581801656
1581801713,0,0,0,0,232,0,0,0,0,1581801657
1581801714,0,0,0,0,240,0,0,0,0,1581801658
1581801715,0,0,0,0,233,0,0,0,0,1581801659
1581801716,0,0,0,0,223,0,0,0,0,1581801660
1581801717,0,0,0,0,227,0,0,0,0,1581801661
1581801718,0,0,0,0,235,0,0,0,0,1581801662
1581801719,0,0,0,0,265,1,0,0,0,1581801663
1581801720,0,0,0,0,265,1,0,0,0,1581801664
1581801721,0,0,0,0,265,1,0,0,0,1581801665
1581801722,0,0,0,0,256,1,0,0,0,1581801666
1581801723,0,0,0,0,252,1,0,0,0,1581801667
1581801724,0,0,0,0,247,1,0,0,0,1581801668
1581801725,0,0,0,0,255,1,0,0,0,1581801669
1581801726,0,0,0,0,260,1,0,0,0,1581801670
1581801727,0,0,0,0,205,0,0,0,0,1581801671
1581801728,0,0,0,0,209,0,0,0,0,1581801672
1581801729,0,0,0,0,219,0,0,0,0,1581801673
1581801730,0,0,0,0,228,0,0,0,0,1581801674
1581801731,0,0,0,0,224,0,0,0,0,1581801675
1581801732,0,0,0,0,217,0,0,0,0,1581801676
1581801733,0,0,0,0,238,0,0,0,0,1581801677
1581801734,0,0,0,0,257,1,0,0,0,1581801678
1581801735,0,0,0,0,257,1,0,0,0,1581801679
1581801736,0,0,0,0,259,1,0,0,0,1581801680
1581801737,0,0,0,0,215,0,0,0,0,1581801681
1581801738,0,0,0,0,202,0,0,0,0,1581801682
1581801739,0,0,0,0,244,0,0,0,0,1581801683
1581801740,0,0,0,0,219,0,0,0,0,1581801684
1581801741,0,0,0,0,223,0,0,0,0,1581801685
1581801742,0,0,0,0,223,0,0,0,0,1581801686
1581801743,0,0,0,0,252,1,0,0,0,1581801687
1581801744,0,0,0,0,249,1,0,0,0,1581801688
1581801745,0,0,0,0,246,1,0,0,0,1581801689
1581801746,0,0,0,0,250,1,0,0,0,1581801690
1581801747,0,0,0,0,251,1,0,0,0,1581801691
1581801748,0,0,0,0,249,1,0,0,0,1581801692
1581801749,0,0,0,0,259,1,0,0,0,1581801693
1581801750,0,0,0,0,237,0,0,0,0,1581801694
1581801751,0,0,0,0,226,0,0,0,0,1581801695
1581801752,0,0,0,0,220,0,0,0,0,1581801696
1581801753,0,0,0,0,237,0,0,0,0,1581801697
1581801754,0,0,0,0,265,1,0,0,0,1581801698
1581801755,0,0,0,0,256,1,0,0,0,1581801699
1581801756,0,0,0,0,258,1,0,0,0,1581801700
1581801757,0,0,0,0,258,1,0,0,0,1581801701
1581801758,0,0,0,0,236,0,0,0,0,1581801702
1581801759,0,0,0,0,238,0,0,0,0,1581801703
1581801760,0,0,0,0,231,0,0,0,0,1581801704
1581801761,0,0,0,0,256,1,0,0,0,1581801705
1581801762,0,0,0,0,237,0,0,0,0,1581801706
1581801763,0,0,0,0,240,0,0,0,0,1581801707
1581801764,0,0,0,0,242,0,0,0,0,1581801708
1581801765,0,0,0,0,248,1,0,0,0,1581801709
1581801766,0,0,0,0,249,1,0,0,0,1581801710
1581801767,0,0,0,0,249,1,0,0,0,1581801711
1581801768,0,0,0,0,236,0,0,0,0,1581801712
1581801769,0,0,0,0,236,0,0,0,0,1581801713
1581801770,0,0,0,0,236,0,0,0,0,1581801714
1581801771,0,0,0,0,246,1,0,0,0,1581801715
1581801772,0,0,0,0,245,1,0,0,0,1581801716
1581801773,0,0,0,0,250,1,0,0,0,1581801717
1581801774,0,0,0,0,224,0,0,0,0,1581801718
1581801775,0,0,0,0,234,0,0,0,0,1581801719
1581801776,0,0,0,0,227,0,0,0,0,1581801720
1581801777,0,0,0,0,259,1,0,0,0,1581801721
1581801778,0,0,0,0,280,1,0,0,0,1581801722
1581801779,0,0,0,0,262,1,0,0,0,1581801723
1581801780,0,0,0,0,253,1,0,0,0,1581801724
1581801781,0,0,0,0,234,0,0,0,0,1581801725
1581801782,0,0,0,0,234,0,0,0,0,1581801726
1581801783,0,0,0,0,227,0,0,0,0,1581801727
1581801784,0,0,0,0,225,0,0,0,0,1581801728
1581801785,0,0,0,0,237,0,0,0,0,1581801729
1581801786,0,0,0,0,245,1,0,0,0,1581801730
1581801787,0,0,0,0,256,1,0,0,0,1581801731
1581801788,0,0,0,0,233,0,0,0,0,1581801732
1581801789,0,0,0,0,225,0,0,0,0,1581801733
1581801790,0,0,0,0,235,0,0,0,0,1581801734
1581801791,0,0,0,0,261,1,0,0,0,1581801735
1581801792,0,0,0,0,252,1,0,0,0,1581801736
1581801793,0,0,0,0,229,0,0,0,0,1581801737
